"","Brand","Country","Whiskies","Votes","Rating","WB Ranking",""
"2490","Langside","Scotland",5,NA,NA,"G",NA
"2491","Lanius","United States",1,NA,NA,"G",NA
"2492","Lapbeg","Scotland",1,1,85.67,"C",NA
"2493","Laphroaig","Scotland",2190,1741,87.51,"C",NA
"2494","Large Club","Scotland",1,NA,NA,"G",NA
"2495","Largiemeanoch","Scotland",16,11,90.8,"B",NA
"2496","Lark","Australia",49,27,79.9,"E",NA
"2497","Las Vegas Distillery","United States",16,16,80.41,"D",NA
"2498","Lascaw","France",2,2,74.43,"F",NA
"2499","Last Mountain","Canada",4,3,77.5,"E",NA
"2500","Laudale","Scotland",1,1,87.3,"C",NA
"2501","Lauder's","Scotland",19,10,75.6,"E",NA
"2502","Lava Bräu","Austria",20,1,54,"G",NA
"2503","Lawrence Scott","Scotland",1,NA,NA,"G",NA
"2504","Lawrenceburg","United States",2,1,81,"D",NA
"2505","LBL","United States",3,NA,NA,"G",NA
"2506","Le Dùrachdan","Scotland",1,1,80.25,"D",NA
"2507","Leadslingers","United States",2,NA,NA,"G",NA
"2508","Lechtaler Haussegen","Austria",2,NA,NA,"G",NA
"2509","Ledaig","Scotland",688,563,85.65,"C",NA
"2510","Legacy","Scotland",1,NA,NA,"G",NA
"2511","Legendary Scot","Scotland",1,1,85,"C",NA
"2512","Legs Diamond","United States",2,NA,NA,"G",NA
"2513","LeNell's","United States",2,2,88.5,"C",NA
"2514","Leòmhann","Scotland",2,2,90.17,"B",NA
"2515","Leopold Bros","United States",6,2,70.59,"F",NA
"2516","Lexington","United States",5,1,76.5,"E",NA
"2517","LF Whisky","",1,NA,NA,"G",NA
"2518","Liber","Spain",1,1,70.67,"F",NA
"2519","Liberty Call","United States",1,NA,NA,"G",NA
"2520","Liddesdale","Scotland",10,10,86.78,"C",NA
"2521","Light Brigade","Scotland",1,1,70,"F",NA
"2522","Like a Villain","Scotland",1,1,86.67,"C",NA
"2523","Limeburners","Australia",36,12,77.65,"E",NA
"2524","Limerick","Ireland",10,8,87.76,"C",NA
"2525","Limestone Branch","United States",3,1,87,"C",NA
"2526","Limited","Scotland",1,1,88.5,"C",NA
"2527","Limousin Rye","United States",1,NA,NA,"G",NA
"2528","Lindrum","Scotland",1,1,79.5,"E",NA
"2529","LINK","",1,NA,NA,"G",NA
"2530","Linkphroaigh","Scotland",1,NA,NA,"G",NA
"2531","Linkwood","Scotland",1218,807,85.84,"C",NA
"2532","Linlithgow","Scotland",78,62,88.55,"C",NA
"2533","Linn House Reserve","Scotland",3,3,88.39,"C",NA
"2534","Lion's Pride","United States",14,3,72,"F",NA
"2535","Lion's Vat","Scotland",1,1,92,"B",NA
"2536","Lionstone","United States",1,1,81.5,"D",NA
"2537","Liquormen’s Ol’ Dirty Canadian Whisky","Canada",1,NA,NA,"G",NA
"2538","Lismore","Scotland",13,6,80.33,"D",NA
"2539","Little Book","United States",1,1,88,"C",NA
"2540","Little Frog","Scotland",1,1,60,"G",NA
"2541","Little Piggy","Scotland",2,2,76.72,"E",NA
"2542","Little Red Door","France",1,NA,NA,"G",NA
"2543","Little Thin Man","Scotland",1,NA,NA,"G",NA
"2544","Littlemill","Scotland",551,453,86.96,"C",NA
"2545","Liverpool Whisky","England",2,NA,NA,"G",NA
"2546","Liwhinthsky","Switzerland",2,2,76.67,"E",NA
"2547","Lo Artisan","United States",1,NA,NA,"G",NA
"2548","Lobangernich","Germany",4,4,75.34,"E",NA
"2549","Local Choice","United States",1,NA,NA,"G",NA
"2550","Loch Bay","Scotland",1,NA,NA,"G",NA
"2551","Loch Castle","Scotland",3,1,64.5,"G",NA
"2552","Loch Corrie","Scotland",1,NA,NA,"G",NA
"2553","Loch Donald","Scotland",1,NA,NA,"G",NA
"2554","Loch Ewe","Scotland",11,4,73.48,"F",NA
"2555","Loch Ìle","Scotland",1,1,85,"C",NA
"2556","Loch Indaal","Scotland",10,2,89.63,"C",NA
"2557","Loch Islay","Scotland",1,NA,NA,"G",NA
"2558","Loch Lomond","Scotland",117,80,78.73,"E",NA
"2559","Loch Morar","Scotland",2,NA,NA,"G",NA
"2560","Loch Ness","Scotland",5,2,74.08,"F",NA
"2561","Loch Ness Water","Scotland",1,NA,NA,"G",NA
"2562","Lochan Sholum","Scotland",1,1,88.24,"C",NA
"2563","Lochan Solan","Scotland",2,NA,NA,"G",NA
"2564","Lochindaal","Scotland",24,19,86.26,"C",NA
"2565","Lochinvar","Scotland",5,1,76.5,"E",NA
"2566","Lochlann","Scotland",1,NA,NA,"G",NA
"2567","Lochleven","Scotland",1,NA,NA,"G",NA
"2568","Lochlins","Scotland",1,NA,NA,"G",NA
"2569","Lochness","Scotland",1,NA,NA,"G",NA
"2570","Lochranza","Scotland",33,22,83.03,"D",NA
"2571","Lochruan","Scotland",1,1,79,"E",NA
"2572","Lochside","Scotland",175,147,88.41,"C",NA
"2573","Lock Stock & Barrel","Canada",5,3,84.73,"D",NA
"2574","Locke's","Ireland",15,8,79.35,"E",NA
"2575","Logan","Scotland",17,7,83.6,"D",NA
"2576","Lohin McKinnon","Canada",1,1,77,"E",NA
"2577","Lombard Gold Label","Scotland",3,2,81.34,"D",NA
"2578","Lomond","Scotland",2,1,84.67,"D",NA
"2579","Lone Oak","United States",1,1,92,"B",NA
"2580","Lone Whisker","United States",1,1,87,"C",NA
"2581","Long Island o'OldTymer","United States",NA,NA,NA,"G",NA
"2582","Long John","Scotland",28,16,75.08,"E",NA
"2583","Long Wood","Canada",3,3,66.93,"G",NA
"2584","Longhorn Moonshine","Germany",3,NA,NA,"G",NA
"2585","Longmorn","Scotland",1152,884,87.39,"C",NA
"2586","Longrow","Scotland",343,250,87.61,"C",NA
"2587","Lord Astor","Scotland",2,NA,NA,"G",NA
"2588","Lord Calvert","Canada",5,2,75.84,"E",NA
"2589","Lord Douglas","Scotland",3,NA,NA,"G",NA
"2590","Lord Dudley","Scotland",1,NA,NA,"G",NA
"2591","Lord Elcho","Scotland",2,2,79.5,"E",NA
"2592","Lord of Ireland","Ireland",1,1,84.75,"D",NA
"2593","Lord of Islay","Scotland",2,2,88.38,"C",NA
"2594","Lord of Orkney","Scotland",2,2,88.54,"C",NA
"2595","Lord Richmond","Scotland",3,NA,NA,"G",NA
"2596","Lord Roxburgh","Scotland",1,1,87,"C",NA
"2597","Lord Waterloo","Scotland",1,NA,NA,"G",NA
"2598","Lordly","France",1,NA,NA,"G",NA
"2599","Lorrain","France",1,1,10,"G",NA
"2600","Los 2 Compadres","Mexico",3,1,81,"D",NA
"2601","Lossieburn","Scotland",2,2,88.17,"C",NA
"2602","Lossit","Scotland",4,3,78.39,"E",NA
"2603","Lost & Found","Scotland",1,NA,NA,"G",NA
"2604","Lost Gods","",2,2,86.88,"C",NA
"2605","Lost Lake","United States",1,NA,NA,"G",NA
"2606","Lost Prophet","United States",1,1,86.67,"C",NA
"2607","Lost Spirits","United States",21,15,72.47,"F",NA
"2608","Lot No. 40","Canada",7,6,82.5,"D",NA
"2609","Lothlend","Scotland",1,1,72,"F",NA
"2610","Lotus Lord","Scotland",1,NA,NA,"G",NA
"2611","Louisville","United States",1,NA,NA,"G",NA
"2612","Love's","Scotland",1,NA,NA,"G",NA
"2613","Lovie","Scotland",1,NA,NA,"G",NA
"2614","Low Gap","United States",7,NA,NA,"G",NA
"2615","Lower East Side","United States",1,1,82,"D",NA
"2616","Lowland","Scotland",9,6,84.37,"D",NA
"2617","Lowland Blended Grain","Scotland",1,1,83,"D",NA
"2618","Lowland Blended Malt","Scotland",4,3,85.12,"C",NA
"2619","Lowland Malt","Scotland",NA,NA,NA,"G",NA
"2620","Lowland Region","Scotland",2,2,84.5,"D",NA
"2621","Lowland Single Malt","Scotland",1,NA,NA,"G",NA
"2622","Lowlander by the Sea","Scotland",1,1,78.48,"E",NA
"2623","Lucky Bastard","Canada",3,2,84.5,"D",NA
"2624","Lungauer Whisky","Austria",1,NA,NA,"G",NA
"2625","Lüthy","Switzerland",8,6,81.51,"D",NA
"2626","Luzerner Hinterländer","Switzerland",8,5,75.27,"E",NA
"2627","Lynchburg Distillery","United States",1,NA,NA,"G",NA
"2628","M D","Scotland",1,NA,NA,"G",NA
"2629","M is for Magic","Scotland",2,2,84.34,"D",NA
"2630","M&H Whisky Distillery","Israel",9,9,86.58,"C",NA
"2631","M.P.","Scotland",1,NA,NA,"G",NA
"2632","Mac Ausland's","Scotland",1,NA,NA,"G",NA
"2633","Mac Bervie","Scotland",1,NA,NA,"G",NA
"2634","Mac Bundy","Scotland",2,NA,NA,"G",NA
"2635","Mac Dugan","Scotland",15,9,82.12,"D",NA
"2636","Mac Field","Scotland",1,NA,NA,"G",NA
"2637","Mac Gavin's","Scotland",1,NA,NA,"G",NA
"2638","Mac Harry's","Scotland",1,NA,NA,"G",NA
"2639","Mac Ilroy","Scotland",1,NA,NA,"G",NA
"2640","Mac Lean","Scotland",2,NA,NA,"G",NA
"2641","Mac Malden","Scotland",5,4,77.03,"E",NA
"2642","Mac Maroon No 5","Scotland",1,NA,NA,"G",NA
"2643","Mac NaMara","Scotland",2,2,75.55,"E",NA
"2644","Mac Nicoll","Scotland",2,NA,NA,"G",NA
"2645","Mac Percy","Scotland",1,NA,NA,"G",NA
"2646","Mac Queen","Scotland",4,1,77.5,"E",NA
"2647","Mac Queens","Scotland",1,NA,NA,"G",NA
"2648","Mac Spey","Scotland",1,1,72,"F",NA
"2649","Macallan","Scotland",2301,1645,88.24,"C",NA
"2650","Macaloney's","Canada",3,NA,NA,"G",NA
"2651","Macardo","Switzerland",13,6,78.67,"E",NA
"2652","MacArthur's","Scotland",10,4,79.52,"E",NA
"2653","MacDonald's","Scotland",1,1,84.75,"D",NA
"2654","Macduff","Scotland",497,353,85.17,"C",NA
"2655","Macfie","Scotland",1,NA,NA,"G",NA
"2656","Macgregor's","Scotland",6,1,85.56,"C",NA
"2657","Machrie Moor","Scotland",16,16,83.19,"D",NA
"2658","Mackenzie","Scotland",2,2,77,"E",NA
"2659","Mackinlay's","Scotland",33,13,80.45,"D",NA
"2660","MacKintosh","Scotland",2,NA,NA,"G",NA
"2661","Mackmyra","Sweden",243,197,82.29,"D",NA
"2662","Maclachlans","Scotland",1,1,86,"C",NA
"2663","Macleay Duff","Scotland",4,NA,NA,"G",NA
"2664","MacLeod of MacLeod","Scotland",3,NA,NA,"G",NA
"2665","Macleod's","Scotland",37,23,82.3,"D",NA
"2666","Macnair's","Scotland",2,NA,NA,"G",NA
"2667","MacNaughton","Canada",4,2,76.75,"E",NA
"2668","MacPhail's","Scotland",77,59,88.24,"C",NA
"2669","Mad March Hare","Ireland",1,NA,NA,"G",NA
"2670","Magic Cask","Scotland",1,1,88,"C",NA
"2671","Magilligan","Ireland",4,2,80.27,"D",NA
"2672","Magnificent Mellie","Scotland",1,1,87.33,"C",NA
"2673","Mahrs Bräu","Germany",1,NA,NA,"G",NA
"2674","Maier's","Germany",1,1,51.33,"G",NA
"2675","Main Fields","France",1,NA,NA,"G",NA
"2676","Maison Benjamin Kuentz","France",3,3,80.33,"D",NA
"2677","Major Gunn's","Scotland",2,1,55,"G",NA
"2678","Major Pike's","Scotland",1,NA,NA,"G",NA
"2679","Majority","Scotland",1,1,73,"F",NA
"2680","Maker's 46","United States",7,3,84.51,"D",NA
"2681","Maker's Mark","United States",191,52,81.38,"D",NA
"2682","Malony's","Ireland",2,NA,NA,"G",NA
"2683","Malt Mill","Scotland",1,NA,NA,"G",NA
"2684","Malt Pedigree","Scotland",4,4,81.58,"D",NA
"2685","Malt Whisky","",4,2,87.13,"C",NA
"2686","Malts of Islay - Àlainn","Scotland",1,1,87.92,"C",NA
"2687","Malts of Islay - Trom","Scotland",1,1,85.33,"C",NA
"2688","Malzbeisser","Germany",1,NA,NA,"G",NA
"2689","Man o'Sword","Scotland",3,1,80,"D",NA
"2690","Man o'Words","Scotland",2,NA,NA,"G",NA
"2691","Manchester United","Scotland",3,NA,NA,"G",NA
"2692","Mandelbachtal","Germany",2,1,89.33,"C",NA
"2693","Manderley","United States",1,1,84,"D",NA
"2694","Mandlberggut","Austria",4,2,50.46,"G",NA
"2695","Mängistörfler Whisky","Switzerland",3,NA,NA,"G",NA
"2696","Manly Spirits","Australia",1,NA,NA,"G",NA
"2697","Mannochmore","Scotland",271,188,84.09,"D",NA
"2698","Mansion House","Scotland",5,3,68.61,"G",NA
"2699","Maple Leaf","Canada",1,1,36.67,"G",NA
"2700","Mapleshade","Canada",1,NA,NA,"G",NA
"2701","Marchmount Bowling Club","Scotland",1,NA,NA,"G",NA
"2702","Marder","Germany",8,6,79.62,"E",NA
"2703","Margadale","Scotland",3,3,86.5,"C",NA
"2704","Marie Louise Tissot","France",1,1,74,"F",NA
"2705","Mark One","",1,NA,NA,"G",NA
"2706","Mark Twain","United States",1,1,70.67,"F",NA
"2707","Märkische Spezialitätenbrennerei","Germany",11,5,76,"E",NA
"2708","Marlfield","Ireland",1,NA,NA,"G",NA
"2709","Mars","Japan",19,11,84.15,"D",NA
"2710","Marshall Fields","United States",2,NA,NA,"G",NA
"2711","Marshall's","United States",1,1,73.67,"F",NA
"2712","Marshall's","Scotland",1,NA,NA,"G",NA
"2713","Martin Grube Estate","United States",1,NA,NA,"G",NA
"2714","Martin Mills","United States",2,1,91.67,"B",NA
"2715","Martin's","Scotland",3,1,85.67,"C",NA
"2716","Mary Read","Germany",1,1,84,"D",NA
"2717","Mary Stuart","Scotland",1,1,84,"D",NA
"2718","Marypark-Speyside","Scotland",2,2,87.5,"C",NA
"2719","Mason's","United States",1,1,55,"G",NA
"2720","Masonic Club","Scotland",1,NA,NA,"G",NA
"2721","Master John","Scotland",1,1,75,"E",NA
"2722","Masterpiece","United States",2,NA,NA,"G",NA
"2723","Masterson's","Canada",13,10,84.79,"D",NA
"2724","Masthead","Scotland",1,NA,NA,"G",NA
"2725","Match Whisky","Scotland",6,3,83.38,"D",NA
"2726","Matisse","Scotland",12,7,81.07,"D",NA
"2727","Mattingly & Moore","United States",2,1,82,"D",NA
"2728","Mature Your Own","Scotland",1,NA,NA,"G",NA
"2729","Maverick Drinks","United Kingdom",12,3,83.08,"D",NA
"2730","Maxim's de Paris","",3,NA,NA,"G",NA
"2731","Maximum Peat","Scotland",19,16,84.15,"D",NA
"2732","Maximum Sherry","Scotland",2,2,84.34,"D",NA
"2733","Maxwell","Scotland",2,2,88.5,"C",NA
"2734","Mayfair","Scotland",1,NA,NA,"G",NA
"2735","Mayor Pingree","United States",4,1,84,"D",NA
"2736","MB Roland","United States",6,NA,NA,"G",NA
"2737","Mc Daniel","Scotland",1,1,82,"D",NA
"2738","Mc Illroy","Scotland",5,1,44.2,"G",NA
"2739","Mc Intyre","Scotland",1,1,51,"G",NA
"2740","McAfee's Benchmark","United States",4,3,75.51,"E",NA
"2741","McAndrew's","Scotland",4,NA,NA,"G",NA
"2742","McArthur","Scotland",1,NA,NA,"G",NA
"2743","McCallum's","Scotland",9,4,72.75,"F",NA
"2744","McCarthy's Oregon","United States",16,12,81.1,"D",NA
"2745","McClelland's","Scotland",34,20,76.42,"E",NA
"2746","McCormack's","Ireland",1,1,73,"F",NA
"2747","McCormick","United States",2,1,81,"D",NA
"2748","McCrae's","Scotland",2,1,74,"F",NA
"2749","McDoune","Scotland",1,NA,NA,"G",NA
"2750","McDowell's","India",5,3,49.25,"G",NA
"2751","McGee","Scotland",1,1,58,"G",NA
"2752","McGibbon's","Scotland",9,4,74.45,"F",NA
"2753","McGregor","Scotland",1,NA,NA,"G",NA
"2754","McGuinness Distillers","Canada",3,NA,NA,"G",NA
"2755","McHenry","Australia",2,1,84,"D",NA
"2756","McIVOR","Scotland",3,NA,NA,"G",NA
"2757","McKendric","United States",3,NA,NA,"G",NA
"2758","McKendrick's","Scotland",3,NA,NA,"G",NA
"2759","McKenzie","United States",8,5,78.62,"E",NA
"2760","McKenzie","Scotland",2,NA,NA,"G",NA
"2761","McLintock","Scotland",2,2,63.6,"G",NA
"2762","McLoughlin & Steel","Canada",2,NA,NA,"G",NA
"2763","McNeill's Prototype","Scotland",12,10,86.33,"C",NA
"2764","McSheelton","Scotland",1,NA,NA,"G",NA
"2765","McTryn","Scotland",4,1,86,"C",NA
"2766","Meadhan","Scotland",2,NA,NA,"G",NA
"2767","Meadwood","United States",1,NA,NA,"G",NA
"2768","Mealach","Scotland",1,1,81,"D",NA
"2769","Medley Bros.","United States",2,1,86,"C",NA
"2770","Medley Family","United States",5,NA,NA,"G",NA
"2771","Medley's","United States",10,3,71.28,"F",NA
"2772","Meisner","Germany",2,NA,NA,"G",NA
"2773","Meissener Whisky","Germany",2,2,80.17,"D",NA
"2774","Mekong","Cambodia",2,1,19.5,"G",NA
"2775","Meldrum House","Scotland",3,3,82.26,"D",NA
"2776","Mellow Corn","United States",3,2,73.59,"F",NA
"2777","Mellwood","United States",1,NA,NA,"G",NA
"2778","Melrose Drover","Scotland",1,NA,NA,"G",NA
"2779","Memory's Malt Blend","Japan",1,NA,NA,"G",NA
"2780","Menomonee Valley","United States",1,NA,NA,"G",NA
"2781","Merrys","Ireland",5,2,74.88,"F",NA
"2782","Method & Madness","Ireland",8,7,86.18,"C",NA
"2783","Metropolitan","Scotland",1,NA,NA,"G",NA
"2784","Metze's","United States",1,NA,NA,"G",NA
"2785","Meyer","France",3,3,75.34,"E",NA
"2786","Mhain Baraille","",2,NA,NA,"G",NA
"2787","Mic Mac","Scotland",1,1,50,"G",NA
"2788","Mic.Drop.","United States",1,1,89,"C",NA
"2789","Michael Collins","Ireland",6,3,78.11,"E",NA
"2790","Michael Jackson","Scotland",1,1,83.21,"D",NA
"2791","Michel Couvreur","France",17,11,86.86,"C",NA
"2792","Micheles","Austria",1,NA,NA,"G",NA
"2793","Michter's","United States",121,80,84.51,"D",NA
"2794","Micil","Ireland",1,NA,NA,"G",NA
"2795","Middleton","United States",1,NA,NA,"G",NA
"2796","Midleton","Ireland",101,64,87.88,"C",NA
"2797","Midnight Moon","United States",5,4,78.25,"E",NA
"2798","Mikkeller Spirits","Denmark",1,NA,NA,"G",NA
"2799","Mile High Spirits","United States",1,NA,NA,"G",NA
"2800","Milford","New Zealand",37,28,81.97,"D",NA
"2801","Milhson's","Scotland",2,NA,NA,"G",NA
"2802","Military Special","United States",1,NA,NA,"G",NA
"2803","Millars","Ireland",4,3,78.25,"E",NA
"2804","Millbrook","United States",1,NA,NA,"G",NA
"2805","Millburn","Scotland",96,78,88.02,"C",NA
"2806","Millennium Club","Scotland",2,NA,NA,"G",NA
"2807","Millstone","Netherlands",142,126,81.39,"D",NA
"2808","Milroy's Finest","Scotland",1,1,66,"G",NA
"2809","Miltonduff","Scotland",528,383,85.44,"C",NA
"2810","Miltonhaugh","Scotland",3,3,92.5,"B",NA
"2811","Minhas Distillery","United States",3,3,67.67,"G",NA
"2812","Minor Case","United States",1,1,80,"D",NA
"2813","Misky","Switzerland",1,NA,NA,"G",NA
"2814","Missouri Spirits","United States",2,NA,NA,"G",NA
"2815","Mitchell's","Scotland",4,4,81.99,"D",NA
"2816","Mither Tap","Scotland",1,NA,NA,"G",NA
"2817","Miyagikyo","Japan",97,73,87.41,"C",NA
"2818","Moenks","Germany",1,1,81,"D",NA
"2819","Moidart","Scotland",8,5,86.36,"C",NA
"2820","Monarch","Scotland",2,NA,NA,"G",NA
"2821","Moncreiffe","Scotland",2,1,82.25,"D",NA
"2822","Monde Shuzou","Japan",3,2,67.5,"G",NA
"2823","Monkey Shoulder","Scotland",11,10,78.58,"E",NA
"2824","Mons Meg","Scotland",1,NA,NA,"G",NA
"2825","Monster","Scotland",1,NA,NA,"G",NA
"2826","Monster's Choice","Scotland",5,1,77.2,"E",NA
"2827","Monumental","Scotland",2,1,88,"C",NA
"2828","Moon Glow","Japan",1,NA,NA,"G",NA
"2829","Moon Harbour","France",3,3,79.35,"E",NA
"2830","Moonshine","United States",6,1,81,"D",NA
"2831","Moor Whisky","Germany",1,1,86,"C",NA
"2832","Moorland","Scotland",7,1,86,"C",NA
"2833","Morpheus","Scotland",1,1,86.75,"C",NA
"2834","Morrigan","Ireland",1,NA,NA,"G",NA
"2835","Morrison","Scotland",2,1,82,"D",NA
"2836","Morrison's Machrie","Scotland",1,NA,NA,"G",NA
"2837","Morriston Gold","Scotland",1,1,76,"E",NA
"2838","Mortimers","Scotland",2,1,88,"C",NA
"2839","Mortlach","Scotland",1481,1104,86.15,"C",NA
"2840","Morton's","Scotland",1,NA,NA,"G",NA
"2841","Mortons","Scotland",2,1,85,"C",NA
"2842","MOS","Scotland",3,2,82.84,"D",NA
"2843","Mosstowie","Scotland",78,62,86.69,"C",NA
"2844","Mosswood","United States",1,NA,NA,"G",NA
"2845","Most Wanted","United States",1,1,73,"F",NA
"2846","Mount Everest","Nepal",1,1,26,"G",NA
"2847","Mount Keen","Scotland",4,2,60.5,"G",NA
"2848","Mount Vernon","United States",3,NA,NA,"G",NA
"2849","Mountain Cream","Scotland",1,NA,NA,"G",NA
"2850","Moutard","France",1,1,73,"F",NA
"2851","Moylan's","United States",5,NA,NA,"G",NA
"2852","Mr. Larry","Scotland",1,NA,NA,"G",NA
"2853","Mrs. Couvreur' Choice","Scotland",1,1,90.67,"B",NA
"2854","Mt. Logan","Canada",2,NA,NA,"G",NA
"2855","Muckle Flugga","Scotland",2,2,82.93,"D",NA
"2856","Mühlenthal","Germany",1,NA,NA,"G",NA
"2857","Mühli Whiskey","Switzerland",1,1,77.5,"E",NA
"2858","Muirhead's","Scotland",9,3,65.67,"G",NA
"2859","Muirs Inn","Scotland",1,NA,NA,"G",NA
"2860","Mull of Kintyre Music Festival","Scotland",4,2,85,"C",NA
"2861","Mull-A-Mhoine","Scotland",4,3,79.72,"E",NA
"2862","Munray","Scotland",1,1,88,"C",NA
"2863","Murdoch's Perfection","Scotland",10,3,82,"D",NA
"2864","Murmeli","Austria",1,1,79,"E",NA
"2865","Murphys","Ireland",1,1,76,"E",NA
"2866","Murrayfield","Scotland",2,NA,NA,"G",NA
"2867","Murree Brewery","Pakistan",7,1,4,"G",NA
"2868","Musée de l'alambic","",1,NA,NA,"G",NA
"2869","Mykulynetsky Brovar","Ukraine",5,1,16.8,"G",NA
"2870","Myrmhor","Scotland",1,1,82,"D",NA
"2871","Mysterious Morticia","Scotland",1,1,88,"C",NA
"2872","Mystery Dram","Scotland",1,1,85,"C",NA
"2873","Mystery Islay","Scotland",5,5,82.03,"D",NA
"2874","Mystery Little Piggy","Scotland",3,3,83.38,"D",NA
"2875","Mystery Malt","",1,1,87,"C",NA
"2876","Mystery Speyside","Scotland",5,4,88.09,"C",NA
"2877","Nagahama","Japan",3,2,79,"E",NA
"2878","Naguelann","France",6,4,80.63,"D",NA
"2879","Naked","Canada",1,1,70,"F",NA
"2880","Nant","Australia",16,10,83,"D",NA
"2881","Nantou","Taiwan",91,22,84.18,"D",NA
"2882","Napf Whisky","Switzerland",1,NA,NA,"G",NA
"2883","Nathan Stone's","United States",1,NA,NA,"G",NA
"2884","Nation of Scots","Scotland",1,1,81.5,"D",NA
"2885","National Distillers","United States",1,NA,NA,"G",NA
"2886","Natu Nobilis","Brazil",2,1,80,"D",NA
"2887","Nectar d'Islay","Scotland",1,1,82.75,"D",NA
"2888","Nectar d'Speyside","Scotland",1,1,89,"C",NA
"2889","Nectar Grove","Scotland",1,1,84.05,"D",NA
"2890","Nelson","United States",1,NA,NA,"G",NA
"2891","Nelson's First 108","United States",1,1,84,"D",NA
"2892","Nessie's Nip","Scotland",1,NA,NA,"G",NA
"2893","Nestville","Slovakia",12,10,74.09,"F",NA
"2894","Nethermill","Scotland",2,1,80,"D",NA
"2895","Neumarkt Special","Scotland",1,NA,NA,"G",NA
"2896","Nevis Dew","Scotland",11,6,72.96,"F",NA
"2897","New Born","Japan",1,NA,NA,"G",NA
"2898","New Bridge Creek","United States",1,NA,NA,"G",NA
"2899","New Deal Distillery","United States",1,NA,NA,"G",NA
"2900","New England","United States",1,NA,NA,"G",NA
"2901","New Filling Malt","",1,1,84,"D",NA
"2902","New Holland Brewing","United States",6,2,80.63,"D",NA
"2903","New Malt Spirit","France",1,NA,NA,"G",NA
"2904","New Richmond Rye","United States",2,NA,NA,"G",NA
"2905","New Town Blends","Scotland",2,2,83,"D",NA
"2906","New Waterway Malt","Scotland",1,1,81.67,"D",NA
"2907","New World Projects","Australia",20,12,87.21,"C",NA
"2908","New Year Malt","Scotland",1,NA,NA,"G",NA
"2909","New York Distilling Company","United States",1,1,83.5,"D",NA
"2910","Newcastle United","Scotland",1,NA,NA,"G",NA
"2911","Newport","Scotland",1,NA,NA,"G",NA
"2912","News","Japan",1,1,79,"E",NA
"2913","News from Heaven","Scotland",1,NA,NA,"G",NA
"2914","NEWT","Scotland",1,1,87.67,"C",NA
"2915","Newton and Ridley","Scotland",3,NA,NA,"G",NA
"2916","Nice 'n Peaty","Scotland",6,4,84.5,"D",NA
"2917","Nightlab","United States",1,NA,NA,"G",NA
"2918","Nikka","Japan",468,294,84.08,"D",NA
"2919","Ninety","Canada",2,2,82.93,"D",NA
"2920","Nippy Sweetie","Scotland",1,NA,NA,"G",NA
"2921","Nirasaki","Japan",1,NA,NA,"G",NA
"2922","No 1","Scotland",1,NA,NA,"G",NA
"2923","No Age","Scotland",9,8,87.78,"C",NA
"2924","No Name","Scotland",2,2,89.17,"C",NA
"2925","No. 7","Germany",1,1,88.75,"C",NA
"2926","Noah's Mill","United States",19,10,77.77,"E",NA
"2927","Noble Glen","Scotland",1,NA,NA,"G",NA
"2928","Noble Ryder","Scotland",1,NA,NA,"G",NA
"2929","Nobleman","Scotland",2,NA,NA,"G",NA
"2930","Nomad","Scotland",3,2,78.22,"E",NA
"2931","Nor'Easter","United States",1,NA,NA,"G",NA
"2932","Nordisk Brænderi","Denmark",1,1,82,"D",NA
"2933","North British","Scotland",237,183,84.72,"D",NA
"2934","North Highland","Scotland",7,7,85.66,"C",NA
"2935","North Highlands","Scotland",1,NA,NA,"G",NA
"2936","North Irish","Ireland",1,1,88.67,"C",NA
"2937","North Islay","Scotland",1,1,85,"C",NA
"2938","North of 7 Whisky","Canada",3,1,85,"C",NA
"2939","North of Ireland","Ireland",2,2,89.88,"C",NA
"2940","North of Scotland","Scotland",52,44,87.33,"C",NA
"2941","North Port","Scotland",106,75,85.86,"C",NA
"2942","North Sea Storm Whisky","Germany",2,NA,NA,"G",NA
"2943","North Shore Distillery","United States",1,NA,NA,"G",NA
"2944","North Star","United States",NA,NA,NA,"G",NA
"2945","Northern Highland","Scotland",2,2,82,"D",NA
"2946","Not Islay","Scotland",1,1,83.33,"D",NA
"2947","Number One","Scotland",1,NA,NA,"G",NA
"2948","Nyborg","Denmark",6,2,81,"D",NA
"2949","Ö Whisky","Sweden",4,4,75.52,"E",NA
"2950","O'Connor","Ireland",2,1,74,"F",NA
"2951","O'Hara","Ireland",1,1,74,"F",NA
"2952","O'Kanagan","Ireland",1,1,73,"F",NA
"2953","O'Reilly's","Ireland",1,1,77,"E",NA
"2954","O. F. C.","United States",3,1,79,"E",NA
"2955","O.K.I.","United States",7,NA,NA,"G",NA
"2956","Oak Cross","Scotland",4,3,82.87,"D",NA
"2957","Oakfield","Scotland",1,NA,NA,"G",NA
"2958","Oban","Scotland",128,97,84.79,"D",NA
"2959","Ocean Lucky","Japan",1,NA,NA,"G",NA
"2960","Ocean Whisky","Japan",7,1,30,"G",NA
"2961","Ochterglen","Scotland",1,1,82,"D",NA
"2962","Octomore","Scotland",88,82,87.88,"C",NA
"2963","Odd Society","Canada",1,NA,NA,"G",NA
"2964","Odinforest","Germany",1,1,52,"G",NA
"2965","Officer's Choice","India",1,1,60,"G",NA
"2966","Ohishi Whisky","Japan",3,3,78.89,"E",NA
"2967","Oir Amber","Scotland",1,NA,NA,"G",NA
